Actor/Actress,Character,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances
Actor/Actress,Character,1,2,3,4,5,6,7,8
Julian Glover,Grand Maester Pycelle,Recurring,Recurring,Recurring,Recurring,Recurring,Recurring,,
Ian Beattie,Meryn Trant,Recurring,Recurring,Recurring,Recurring,Recurring,,,
Kristian Nairn[a],Hodor,Recurring,Recurring,Recurring,Recurring,,Recurring,,
Mark Stanley,Grenn,Recurring,Recurring,Recurring,Recurring,,,,
Natalia Tena,Osha,Recurring,Recurring,Recurring,,,Recurring,,
Art Parkinson,Rickon Stark,Recurring,Recurring,Recurring,,,Recurring,,
Esmé Bianco,Ros,Recurring,Recurring,Recurring,,,,,
Hafþór Júlíus Björnsson[b],Gregor Clegane,Recurring,Recurring,,Recurring,Recurring,Recurring,Recurring,Recurring
Dominic Carter,Janos Slynt,Recurring,Recurring,,Recurring,Recurring,,,
Eugene Simon,Lancel Lannister,Recurring,Recurring,,,Recurring,Recurring,,
Nell Tiger Free[c],Myrcella Baratheon,Recurring,Recurring,,,Recurring,Guest,,
Ron Donachie[d],Rodrik Cassel,Recurring,Recurring,,,,Recurring,,
Donald Sumpter,Maester Luwin,Recurring,Recurring,,,,,,
Amrita Acharia,Irri,Recurring,Recurring,,,,,,
Roxanne McKee,Doreah,Recurring,Recurring,,,,,,
Gethin Anthony,Renly Baratheon,Recurring,Recurring,,,,,,
Francis Magee,Yoren,Recurring,Recurring,,,,,,
Ian Gelder,Kevan Lannister,Recurring,Guest,,,Recurring,Recurring,,
Elyes Gabel,Rakharo,Recurring,Guest,,,,,,
Wilko Johnson,Ilyn Payne,Recurring,Guest,,,,,,
Ian McElhinney,Barristan Selmy,Recurring,,Recurring,Recurring,Recurring,,,
Luke Barnes,Rast,Recurring,,Recurring,Recurring,,,,
Peter Vaughan,Maester Aemon,Recurring,,Guest,Recurring,Recurring,,,
Josef Altin,Pypar,Recurring,,Guest,Recurring,,,,
Owen Teale,Alliser Thorne,Recurring,,,Recurring,Recurring,Recurring,,
Brian Fortune,Othell Yarwyck,Recurring,,,Recurring,Recurring,Recurring,,
Lino Facioli,Robin Arryn,Recurring,,,Recurring,Guest,Guest,,Guest
Joseph Mawle[e],Benjen Stark,Recurring,,,,,Recurring,Guest,
Kate Dickie,Lysa Arryn,Recurring,,,Guest,,,,
Susan Brown,Septa Mordane,Recurring,,,,,,,
Dar Salim,Qotho,Recurring,,,,,,,
Jamie Sives,Jory Cassel,Recurring,,,,,,,
Emun Elliott,Marillion,Recurring,,,,,,,
Clive Mantle,Greatjon Umber,Recurring,,,,,,,
Mia Soteriou,Mirri Maz Duur,Recurring,,,,,,,
Miltos Yerolemou,Syrio Forel,Recurring,,,,,,,
Finn Jones,Loras Tyrell,Guest,Recurring,Recurring,Recurring,Recurring,Recurring,,
Ben Hawkey,Hot Pie,Guest,Recurring,Recurring,Guest,,,Guest,
Gerard Jordan,Biter,Guest,Recurring,,Guest,,,,
Andy Beckwith,Rorge,Guest,Recurring,,Guest,,,,
Eros Vlahos,Lommy Greenhands,Guest,Recurring,,,,,,
John Stahl[f],Rickard Karstark,Guest,Guest,Recurring,,,,,
Richard Dormer[g],Beric Dondarrion,Guest,,Recurring,,,Guest,Recurring,Recurring
Daniel Portman,Podrick Payne,,Recurring,Recurring,Recurring,Recurring,Recurring,Recurring,Recurring
Ben Crompton,Eddison Tollett,,Recurring,Recurring,Recurring,Recurring,Recurring,Guest,Recurring
Gemma Whelan,Yara Greyjoy,,Recurring,Guest,Guest,,Recurring,Recurring,Guest
Robert Pugh,Craster,,Recurring,Guest,,,,,
Tony Way,Dontos Hollard,,Recurring,,Recurring,,,,
Steven Cole,Kovarro,,Recurring,,,,,,
Ralph Ineson,Dagmer,,Recurring,,,,,,
Nonso Anozie,Xaro Xhoan Daxos,,Recurring,,,,,,
Ian Hanmore,Pyat Pree,,Recurring,,,,,,
